"No.","Time","Source","Destination","Protocol","Length","Info"
"2013","07:30:10.278974","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TLSv1.2","113","Application Data"
"2026","07:30:10.326153","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TCP","66","33900  >  https(443) [ACK] Seq=2117 Ack=1693 Win=5215 Len=0 TSval=141972 TSecr=749012616"
"2059","07:30:10.418637","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TLSv1.2","162","Application Data"
"2060","07:30:10.421451","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TCP","66","33900  >  https(443) [ACK] Seq=2117 Ack=1789 Win=5215 Len=0 TSval=141981 TSecr=749012755"
"2062","07:30:10.427813","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TLSv1.2","113","Application Data"
"2065","07:30:10.473260","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TCP","66","https(443)  >  33900 [ACK] Seq=1789 Ack=2164 Win=27 Len=0 TSval=749012810 TSecr=141982"
"3447","07:30:13.418796","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TLSv1.2","159","Application Data"
"3504","07:30:13.433440","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TLSv1.2","113","Application Data"
"3522","07:30:13.437964","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TCP","66","https(443)  >  33900 [ACK] Seq=1882 Ack=2211 Win=27 Len=0 TSval=749015775 TSecr=142282"
"3568","07:30:13.450055","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TLSv1.2","259","Application Data"
"3584","07:30:13.454316","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TCP","66","https(443)  >  33900 [ACK] Seq=1882 Ack=2404 Win=27 Len=0 TSval=749015791 TSecr=142284"
"15157","07:30:16.419021","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TLSv1.2","143","Application Data"
"15347","07:30:16.468867","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TLSv1.2","113","Application Data"
"15424","07:30:16.486459","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TCP","66","https(443)  >  33900 [ACK] Seq=1959 Ack=2451 Win=27 Len=0 TSval=749018815 TSecr=142586"
"26551","07:30:19.419427","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TLSv1.2","146","Application Data"
"26679","07:30:19.454315","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TLSv1.2","113","Application Data"
"26697","07:30:19.459151","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TCP","66","https(443)  >  33900 [ACK] Seq=2039 Ack=2498 Win=27 Len=0 TSval=749021796 TSecr=142885"
