"Time","Source","Destination","Duration"
"06:06:42.317012","166.104.142.150","172.17.0.1","0.000125"
"06:06:42.317637","166.104.142.150","172.17.0.1","0.000625"
"06:06:42.519431","166.104.142.150","172.17.0.1","0.060845"
"06:06:42.519479","166.104.142.150","172.17.0.1","0.000048"
"06:06:43.063753","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","166.104.142.119","0.078959"
"06:06:43.134162","166.104.142.119","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","0.070409"
"06:06:43.358961","166.104.142.119","asimov.vortex.data.trafficmanager.net","0.015140"
"06:06:43.401780","asimov.vortex.data.trafficmanager.net","166.104.142.119","0.042819"
"06:06:43.410488","166.104.142.119","asimov.vortex.data.trafficmanager.net","0.008708"
"06:06:43.418645","166.104.142.119","asimov.vortex.data.trafficmanager.net","0.008157"
"06:06:43.463474","asimov.vortex.data.trafficmanager.net","166.104.142.119","0.005237"
"06:06:43.463635","asimov.vortex.data.trafficmanager.net","166.104.142.119","0.000161"
"06:06:43.463986","asimov.vortex.data.trafficmanager.net","166.104.142.119","0.000351"
"06:06:43.464154","asimov.vortex.data.trafficmanager.net","166.104.142.119","0.000168"
"06:06:43.464157","asimov.vortex.data.trafficmanager.net","166.104.142.119","0.000003"
"06:06:43.475338","166.104.142.119","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","0.011181"
"06:06:43.478739","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","166.104.142.119","0.003401"
"06:06:43.538224","166.104.142.119","asimov.vortex.data.trafficmanager.net","0.059485"
"06:06:43.538387","166.104.142.119","asimov.vortex.data.trafficmanager.net","0.000163"
"06:06:43.538531","166.104.142.119","asimov.vortex.data.trafficmanager.net","0.000144"
"06:06:43.538678","166.104.142.119","asimov.vortex.data.trafficmanager.net","0.000147"
"06:06:43.538830","166.104.142.119","asimov.vortex.data.trafficmanager.net","0.000152"
"06:06:43.538999","166.104.142.119","asimov.vortex.data.trafficmanager.net","0.000169"
"06:06:43.566850","asimov.vortex.data.trafficmanager.net","166.104.142.119","0.027851"
"06:06:43.573029","166.104.142.119","asimov.vortex.data.trafficmanager.net","0.006179"
"06:06:43.582131","asimov.vortex.data.trafficmanager.net","166.104.142.119","0.009102"
"06:06:43.586035","166.104.142.119","asimov.vortex.data.trafficmanager.net","0.003904"
"06:06:43.597852","166.104.142.119","asimov.vortex.data.trafficmanager.net","0.011817"
"06:06:43.599588","166.104.142.119","asimov.vortex.data.trafficmanager.net","0.001736"
"06:06:43.600156","166.104.142.119","asimov.vortex.data.trafficmanager.net","0.000568"
