"No.","Time","Source","Destination","Protocol","Length","Info"
"165548","07:27:08.111776","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TLSv1.2","113","Application Data"
"165565","07:27:08.116110","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TCP","66","https(443)  >  33900 [ACK] Seq=12072 Ack=9191 Win=27 Len=0 TSval=748830458 TSecr=123741"
"176354","07:27:11.103028","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TLSv1.2","146","Application Data"
"176400","07:27:11.112992","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TLSv1.2","113","Application Data"
"180510","07:27:12.261743","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TCP","66","[TCP Keep-Alive] https(443)  >  33900 [ACK] Seq=12151 Ack=9238 Win=27 Len=0 TSval=748834603 TSecr=124042"
"181248","07:27:12.468654","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TCP","66","[TCP Keep-Alive ACK] 33900  >  https(443) [ACK] Seq=9238 Ack=12152 Win=5215 Len=0 TSval=124177 TSecr=748833459"
"186994","07:27:14.064836","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TLSv1.2","151","Application Data"
"187204","07:27:14.120257","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TLSv1.2","113","Application Data"
"187217","07:27:14.124548","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TCP","66","https(443)  >  33900 [ACK] Seq=12237 Ack=9285 Win=27 Len=0 TSval=748836466 TSecr=124338"
"187230","07:27:14.125815","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TLSv1.2","142","Application Data"
"187282","07:27:14.137293","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TLSv1.2","113","Application Data"
"187438","07:27:14.185118","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TCP","66","https(443)  >  33900 [ACK] Seq=12313 Ack=9332 Win=27 Len=0 TSval=748836527 TSecr=124344"
