"Time","Source","Destination","Info"
"06:06:34.033225","166.104.142.119","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","35156  >  https(443) [ACK] Seq=521 Ack=674 Win=1372 Len=0 TSval=1896021819 TSecr=3599064119"
"06:06:34.174306","ec2-54-229-251-184.eu-west-1.compute.amazonaws.com","166.104.142.119","https(443)  >  41614 [FIN, ACK] Seq=32 Ack=1 Win=123 Len=0 TSval=3895604391 TSecr=1214647803"
"06:06:34.239353","166.104.142.119","ec2-54-229-251-184.eu-west-1.compute.amazonaws.com","41614  >  https(443) [FIN, ACK] Seq=1 Ack=33 Win=411 Len=0 TSval=1214652820 TSecr=3895604391"
"06:06:34.475706","ec2-54-229-251-184.eu-west-1.compute.amazonaws.com","166.104.142.119","https(443)  >  41614 [ACK] Seq=33 Ack=2 Win=123 Len=0 TSval=3895604692 TSecr=1214652820"
"06:06:35.123841","166.104.142.119","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","Application Data"
"06:06:35.127341","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","166.104.142.119","https(443)  >  35156 [ACK] Seq=674 Ack=650 Win=345 Len=0 TSval=3599064397 TSecr=1896022894"
"06:06:35.451080","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","Application Data"
"06:06:35.567903","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","37390  >  https(443) [ACK] Seq=1792 Ack=1511 Win=3812 Len=0 TSval=121150 TSecr=66056388"
"06:06:35.567994","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","Application Data"
"06:06:35.615047","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","https(443)  >  37390 [ACK] Seq=1511 Ack=1839 Win=42 Len=0 TSval=66056552 TSecr=121151"
"06:06:35.682846","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","166.104.142.119","Application Data"
"06:06:35.744234","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","Application Data"
"06:06:35.747493","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","https(443)  >  37390 [ACK] Seq=1511 Ack=2236 Win=42 Len=0 TSval=66056684 TSecr=121164"
"06:06:35.748071","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","Application Data"
"06:06:35.780199","166.104.142.119","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","35156  >  https(443) [ACK] Seq=650 Ack=850 Win=1372 Len=0 TSval=1896023571 TSecr=3599064536"
"06:06:35.815832","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","166.104.142.119","Application Data"
"06:06:35.840650","166.104.142.119","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","35156  >  https(443) [ACK] Seq=650 Ack=920 Win=1372 Len=0 TSval=1896023631 TSecr=3599064569"
"06:06:35.893734","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","37390  >  https(443) [ACK] Seq=2236 Ack=1558 Win=3812 Len=0 TSval=121179 TSecr=66056685"
"06:06:35.894023","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","Application Data"
"06:06:35.897832","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","Application Data"
"06:06:35.904686","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","37390  >  https(443) [ACK] Seq=2643 Ack=1605 Win=3812 Len=0 TSval=121185 TSecr=66056835"
"06:06:36.692979","166.104.142.119","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","Application Data"
"06:06:36.696290","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","166.104.142.119","https(443)  >  35156 [ACK] Seq=920 Ack=779 Win=353 Len=0 TSval=3599064789 TSecr=1896024478"
"06:06:37.000198","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","Application Data"
"06:06:37.005724","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","37390  >  https(443) [ACK] Seq=2643 Ack=1873 Win=3872 Len=0 TSval=121295 TSecr=66057937"
"06:06:37.019493","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","Application Data"
