"No.","Time","Source","Destination","Protocol","Length","Info"
"228","08:23:46.271341","Slave","Master","LE LL","26","Empty PDU"
"229","08:23:46.271341","Master","Slave","LE LL","26","Empty PDU"
"230","08:23:46.271341","Slave","Master","LE LL","26","Empty PDU"
"231","08:23:46.271341","Master","Slave","LE LL","26","Empty PDU"
"232","08:23:46.271341","Slave","Master","LE LL","26","Empty PDU"
"233","08:23:46.275300","Master","Slave","LE LL","34","Control Opcode: LL_CHANNEL_MAP_REQ"
"234","08:23:46.275300","Slave","Master","LE LL","26","Empty PDU"
"235","08:23:46.275300","Master","Slave","LE LL","26","Empty PDU"
"236","08:23:46.275300","Slave","Master","LE LL","26","Empty PDU"
"237","08:23:46.275300","Master","Slave","LE LL","26","Empty PDU"
"238","08:23:46.275300","Slave","Master","LE LL","26","Empty PDU"
"239","08:23:46.279302","Master","Slave","LE LL","26","Empty PDU"
"240","08:23:46.279302","Slave","Master","LE LL","26","Empty PDU"
"241","08:23:46.279302","Master","Slave","LE LL","26","Empty PDU"
"242","08:23:46.279302","Slave","Master","LE LL","26","Empty PDU"
"243","08:23:46.279302","Master","Slave","LE LL","26","Empty PDU"
"244","08:23:46.279302","Slave","Master","LE LL","26","Empty PDU"
"245","08:23:46.283343","Master","Slave","LE LL","26","Empty PDU"
"246","08:23:46.283343","Slave","Master","LE LL","26","Empty PDU"
"247","08:23:46.283343","Master","Slave","LE LL","26","Empty PDU"
"248","08:23:46.283343","Slave","Master","LE LL","26","Empty PDU"
"249","08:23:46.283343","Master","Slave","LE LL","26","Empty PDU"
"250","08:23:46.283343","Slave","Master","LE LL","26","Empty PDU"
"251","08:23:46.287320","Master","Slave","LE LL","26","Empty PDU"
"252","08:23:46.287320","Slave","Master","LE LL","26","Empty PDU"
"253","08:23:46.287320","Master","Slave","LE LL","26","Empty PDU"
"254","08:23:46.287320","Slave","Master","LE LL","26","Empty PDU"
"255","08:23:46.287320","Master","Slave","LE LL","26","Empty PDU"
"256","08:23:46.291289","Slave","Master","LE LL","26","Empty PDU"
"257","08:23:46.291289","Master","Slave","LE LL","26","Empty PDU"
"258","08:23:46.291289","Slave","Master","LE LL","26","Empty PDU"
"259","08:23:46.291289","Master","Slave","LE LL","26","Empty PDU"
"260","08:23:46.291289","Slave","Master","LE LL","26","Empty PDU"
"261","08:23:46.291289","Master","Slave","LE LL","26","Empty PDU"
"262","08:23:46.295286","Slave","Master","LE LL","26","Empty PDU"
"263","08:23:46.295286","Master","Slave","LE LL","26","Empty PDU"
"264","08:23:46.295286","Slave","Master","LE LL","26","Empty PDU"
"265","08:23:46.295286","Master","Slave","LE LL","26","Empty PDU"
"266","08:23:46.295286","Slave","Master","LE LL","26","Empty PDU"
"267","08:23:46.295286","Master","Slave","LE LL","26","Empty PDU"
"268","08:23:46.299304","Slave","Master","LE LL","26","Empty PDU"
"269","08:23:46.299304","Master","Slave","LE LL","26","Empty PDU"
"270","08:23:46.299304","Slave","Master","LE LL","26","Empty PDU"
"271","08:23:46.299304","Master","Slave","LE LL","26","Empty PDU"
"272","08:23:46.299304","Slave","Master","LE LL","26","Empty PDU"
"273","08:23:46.299304","Master","Slave","LE LL","26","Empty PDU"
"274","08:23:46.303260","Slave","Master","LE LL","26","Empty PDU"
"275","08:23:46.303260","Master","Slave","LE LL","26","Empty PDU"
"276","08:23:46.303260","Slave","Master","LE LL","26","Empty PDU"
"277","08:23:46.303260","Master","Slave","LE LL","26","Empty PDU"
"278","08:23:46.303260","Slave","Master","LE LL","26","Empty PDU"
"279","08:23:46.303260","Master","Slave","LE LL","26","Empty PDU"
"280","08:23:46.303260","Slave","Master","LE LL","26","Empty PDU"
"281","08:23:46.307306","Master","Slave","LE LL","26","Empty PDU"
"282","08:23:46.307306","Slave","Master","LE LL","26","Empty PDU"
"283","08:23:46.307306","Master","Slave","LE LL","26","Empty PDU"
"284","08:23:46.307306","Slave","Master","LE LL","26","Empty PDU"
"285","08:23:46.307306","Master","Slave","LE LL","26","Empty PDU"
"286","08:23:46.307306","Slave","Master","LE LL","26","Empty PDU"
"287","08:23:46.311250","Master","Slave","LE LL","26","Empty PDU"
"288","08:23:46.311250","Slave","Master","LE LL","26","Empty PDU"
"289","08:23:46.311250","Master","Slave","LE LL","26","Empty PDU"
"290","08:23:46.311250","Slave","Master","LE LL","26","Empty PDU"
"291","08:23:46.311250","Master","Slave","LE LL","26","Empty PDU"
"292","08:23:46.311250","Slave","Master","LE LL","26","Empty PDU"
"293","08:23:46.315244","Master","Slave","LE LL","26","Empty PDU"
"294","08:23:46.315244","Slave","Master","LE LL","26","Empty PDU"
"295","08:23:46.315244","Master","Slave","LE LL","26","Empty PDU"
"296","08:23:46.315244","Slave","Master","LE LL","26","Empty PDU"
"297","08:23:46.315244","Master","Slave","LE LL","26","Empty PDU"
"298","08:23:46.319237","Slave","Master","LE LL","26","Empty PDU"
"299","08:23:46.319237","Master","Slave","LE LL","26","Empty PDU"
"300","08:23:46.319237","Slave","Master","LE LL","26","Empty PDU"
"301","08:23:46.319237","Master","Slave","LE LL","26","Empty PDU"
"302","08:23:46.319237","Slave","Master","LE LL","26","Empty PDU"
"303","08:23:46.323254","Master","Slave","LE LL","26","Empty PDU"
"304","08:23:46.323254","Slave","Master","LE LL","26","Empty PDU"
"305","08:23:46.323254","Master","Slave","LE LL","26","Empty PDU"
"306","08:23:46.323254","Slave","Master","LE LL","26","Empty PDU"
"307","08:23:46.323254","Master","Slave","LE LL","26","Empty PDU"
"308","08:23:46.323254","Slave","Master","LE LL","26","Empty PDU"
"309","08:23:46.323254","Master","Slave","LE LL","26","Empty PDU"
"310","08:23:46.327268","Slave","Master","LE LL","26","Empty PDU"
"311","08:23:46.327268","Master","Slave","LE LL","26","Empty PDU"
"312","08:23:46.327268","Slave","Master","LE LL","26","Empty PDU"
"313","08:23:46.327268","Master","Slave","LE LL","26","Empty PDU"
"314","08:23:46.327268","Slave","Master","LE LL","26","Empty PDU"
"315","08:23:46.331223","Master","Slave","LE LL","26","Empty PDU"
"316","08:23:46.331223","Slave","Master","LE LL","26","Empty PDU"
"317","08:23:46.331223","Master","Slave","LE LL","26","Empty PDU"
"318","08:23:46.331223","Slave","Master","LE LL","26","Empty PDU"
"319","08:23:46.331223","Master","Slave","LE LL","26","Empty PDU"
"320","08:23:46.331223","Slave","Master","LE LL","26","Empty PDU"
"321","08:23:46.331223","Master","Slave","LE LL","26","Empty PDU"
"322","08:23:46.335218","Slave","Master","LE LL","26","Empty PDU"
"323","08:23:46.335218","Master","Slave","LE LL","26","Empty PDU"
"324","08:23:46.335218","Slave","Master","LE LL","26","Empty PDU"
"325","08:23:46.335218","Master","Slave","LE LL","26","Empty PDU"
"326","08:23:46.335218","Slave","Master","LE LL","26","Empty PDU"
"327","08:23:46.335218","Master","Slave","LE LL","26","Empty PDU"
"328","08:23:46.335218","Slave","Master","LE LL","26","Empty PDU"
"329","08:23:46.339250","Master","Slave","LE LL","26","Empty PDU"
"330","08:23:46.339250","Slave","Master","LE LL","26","Empty PDU"
"331","08:23:46.339250","Master","Slave","LE LL","26","Empty PDU"
"332","08:23:46.339250","Slave","Master","LE LL","26","Empty PDU"
"333","08:23:46.339250","Master","Slave","LE LL","26","Empty PDU"
"334","08:23:46.339250","Slave","Master","LE LL","26","Empty PDU"
"335","08:23:46.343206","Master","Slave","LE LL","26","Empty PDU"
"336","08:23:46.343206","Slave","Master","LE LL","26","Empty PDU"
"337","08:23:46.343206","Master","Slave","LE LL","26","Empty PDU"
"338","08:23:46.343206","Slave","Master","LE LL","26","Empty PDU"
"339","08:23:46.343206","Master","Slave","LE LL","26","Empty PDU"
"340","08:23:46.343206","Slave","Master","LE LL","26","Empty PDU"
"341","08:23:46.347242","Master","Slave","LE LL","26","Empty PDU"
"342","08:23:46.347242","Slave","Master","LE LL","26","Empty PDU"
"343","08:23:46.347242","Master","Slave","LE LL","26","Empty PDU"
"344","08:23:46.347242","Slave","Master","LE LL","26","Empty PDU"
"345","08:23:46.347242","Master","Slave","LE LL","26","Empty PDU"
"346","08:23:46.347242","Slave","Master","LE LL","26","Empty PDU"
"347","08:23:46.351234","Master","Slave","LE LL","26","Empty PDU"
"348","08:23:46.351234","Slave","Master","LE LL","26","Empty PDU"
"349","08:23:46.351234","Master","Slave","LE LL","26","Empty PDU"
"350","08:23:46.351234","Slave","Master","LE LL","26","Empty PDU"
"351","08:23:46.351234","Master","Slave","LE LL","26","Empty PDU"
"352","08:23:46.351234","Slave","Master","LE LL","26","Empty PDU"
"353","08:23:46.355229","Master","Slave","LE LL","26","Empty PDU"
"354","08:23:46.355229","Slave","Master","LE LL","26","Empty PDU"
"355","08:23:46.355229","Master","Slave","LE LL","26","Empty PDU"
"356","08:23:46.355229","Slave","Master","LE LL","26","Empty PDU"
"357","08:23:46.355229","Master","Slave","LE LL","26","Empty PDU"
"358","08:23:46.355229","Master","Slave","LE LL","26","Empty PDU"
"359","08:23:46.355229","Slave","Master","LE LL","26","Empty PDU"
"360","08:23:46.359242","Master","Slave","LE LL","26","Empty PDU"
"361","08:23:46.359242","Slave","Master","LE LL","26","Empty PDU"
"362","08:23:46.359242","Master","Slave","LE LL","26","Empty PDU"
"363","08:23:46.359242","Slave","Master","LE LL","26","Empty PDU"
"364","08:23:46.359242","Master","Slave","LE LL","26","Empty PDU"
"365","08:23:46.359242","Slave","Master","LE LL","26","Empty PDU"
"366","08:23:46.359242","Master","Slave","LE LL","26","Empty PDU"
"367","08:23:46.363220","Slave","Master","LE LL","26","Empty PDU"
"368","08:23:46.363220","Master","Slave","LE LL","26","Empty PDU"
"369","08:23:46.363220","Slave","Master","LE LL","26","Empty PDU"
"370","08:23:46.363220","Master","Slave","LE LL","26","Empty PDU"
"371","08:23:46.367177","Slave","Master","LE LL","26","Empty PDU"
"372","08:23:46.367177","Master","Slave","LE LL","26","Empty PDU"
"373","08:23:46.367177","Slave","Master","LE LL","26","Empty PDU"
"374","08:23:46.367177","Master","Slave","LE LL","26","Empty PDU"
"375","08:23:46.367177","Slave","Master","LE LL","26","Empty PDU"
"376","08:23:46.367177","Master","Slave","LE LL","26","Empty PDU"
"377","08:23:46.371201","Slave","Master","LE LL","26","Empty PDU"
"378","08:23:46.371201","Master","Slave","LE LL","26","Empty PDU"
"379","08:23:46.371201","Slave","Master","LE LL","26","Empty PDU"
"380","08:23:46.371201","Master","Slave","LE LL","26","Empty PDU"
"381","08:23:46.371201","Slave","Master","LE LL","26","Empty PDU"
"382","08:23:46.371201","Master","Slave","LE LL","26","Empty PDU"
"383","08:23:46.375178","Slave","Master","LE LL","26","Empty PDU"
"384","08:23:46.375178","Master","Slave","LE LL","26","Empty PDU"
"385","08:23:46.375178","Slave","Master","LE LL","26","Empty PDU"
"386","08:23:46.375178","Master","Slave","LE LL","26","Empty PDU"
"387","08:23:46.375178","Slave","Master","LE LL","26","Empty PDU"
"388","08:23:46.379169","Master","Slave","LE LL","26","Empty PDU"
"389","08:23:46.379169","Slave","Master","LE LL","26","Empty PDU"
"390","08:23:46.379169","Master","Slave","LE LL","26","Empty PDU"
"391","08:23:46.379169","Slave","Master","LE LL","26","Empty PDU"
"392","08:23:46.379169","Master","Slave","LE LL","26","Empty PDU"
"393","08:23:46.383154","Slave","Master","LE LL","26","Empty PDU"
"394","08:23:46.383154","Master","Slave","LE LL","26","Empty PDU"
"395","08:23:46.383154","Slave","Master","LE LL","26","Empty PDU"
"396","08:23:46.385008","Master","Slave","LE LL","26","Empty PDU"
"397","08:23:46.385008","Slave","Master","LE LL","26","Empty PDU"
"398","08:23:46.385008","Master","Slave","LE LL","26","Empty PDU"
"399","08:23:46.387150","Slave","Master","LE LL","26","Empty PDU"
"400","08:23:46.387150","Master","Slave","LE LL","26","Empty PDU"
"401","08:23:46.387150","Slave","Master","LE LL","26","Empty PDU"
"402","08:23:46.387150","Master","Slave","LE LL","26","Empty PDU"
"403","08:23:46.387150","Slave","Master","LE LL","26","Empty PDU"
"404","08:23:46.387150","Master","Slave","LE LL","26","Empty PDU"
"405","08:23:46.391143","Slave","Master","LE LL","26","Empty PDU"
"406","08:23:46.391143","Master","Slave","LE LL","26","Empty PDU"
"407","08:23:46.391143","Slave","Master","LE LL","26","Empty PDU"
